		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.000294144331243971	-1	0
rxn05466_c0	TRANS-RXN-173.ce	-1.45925711417538	1	-1
EX_cpd00013_e0	Exchange of Ammonium	1.45925711417538	0	-1
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00029414433113027	4	0
rxn00114_c0	ATP:carbamate phosphotransferase	-0.0778760549627888	-1	0
rxn00278_c0	L-Alanine:NAD+ oxidoreductase (deaminating)	0.479012441914784	1	0
rxn00342_c0	L-Asparagine amidohydrolase	0.0914728813906508	1	0
rxn00347_c0	L-Aspartate ammonia-lyase	0.0274547299647934	1	0
rxn00395_c0	L-Arginine iminohydrolase	0.0895365924487898	1	0
rxn00456_c0	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	0.0941222799357719	1	0
rxn00473_c0	L-tryptophan indole-lyase (deaminating; pyruvate-forming)	0.097989238406529	1	0
rxn00774_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.0172323825789465	-1	0
rxn00867_c0	L-histidine ammonia-lyase (urocanate-forming)	0.0966487306775483	1	0
rxn00949_c0	L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming)	0.00029414433113027	1	0
rxn01654_c0	5-Formiminotetrahydrofolate ammonia-lyase (cyclizing)	0.0966487306775483	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00029414433110462	1	0
rxn02930_c0	D-threo-2,4-diaminopentanoate:NAD+ oxidoreductase (deaminating)	0.0892424481176595	1	0
rxn10484_c0	diaminopimelate dehydrogenase	0.00051421554738573	-1	0
rxn11676_c0	acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase(glycine-forming)	-0.237585724338879	-1	0
rxn13141_c0	Glucosamine-6-phosphate deaminase	-0.00205686218954292	1	0
