		sol$fluxes	cpd00007[c0]	cpd00007[e0]
		met_name	O2[c0]	O2[e0]
rxn00058_c0	Ferrocytochrome-c:oxygen oxidoreductase	0.937831621221849	-1	0
rxn01715_c0	Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing)	0.0945123308946373	-1	0
rxn01923_c0	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase	0.0415799886245962	-1	0
rxn02268_c0	(S)-2-methylbutanoyl-CoA:oxygen 2,3-oxidoreductase	0.0424743631154401	-1	0
rxn02303_c0	Coproporphyrinogen:oxygen oxidoreductase(decarboxylating)	0.000165455148782624	-1	0
rxn02808_c0	anthranilyl-CoA,NADH:oxygen oxidoreductase (de-aromatizing)	-2.36658271566304e-29	-1	0
rxn09477_c0	acyl-CoA oxidase	0.0311719974409223	-1	0
rxn05468_c0	TRANS-RXNAVI-26568.ce	1.14790121159501	1	-1
EX_cpd00007_e0	Exchange of O2	-1.14790121159501	0	-1
rxn23045_c0	glycine oxidase	0.000165455148782624	-1	0
