# gapseq version: 1.2 c1e35b7c
# Transporter sequence DB md5sum: b99a77e (2022-08-26)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q8L1H6|1.A.1.14.2	1.A.1.14.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8L1H6|1.A.1.14.2	50.000	2.36e-66	220	96	JADHEH010000051.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_30.1, whole genome shotgun sequence	141756	141013	transporter
gnl|TC-DB|Q6U8D0|1.A.1.14.3	1.A.1.14.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6U8D0|1.A.1.14.3	33.197	4.30e-34	128	86	JADHEH010000051.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_30.1, whole genome shotgun sequence	141681	140971	transporter
gnl|TC-DB|Q6TMY8|1.A.1.14.4	1.A.1.14.4	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6TMY8|1.A.1.14.4	45.525	1.16e-63	212	99	JADHEH010000051.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_30.1, whole genome shotgun sequence	141762	140992	transporter
gnl|TC-DB|A8EVM5|1.A.1.14.5	1.A.1.14.5	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|A8EVM5|1.A.1.14.5	44.262	6.07e-50	173	91	JADHEH010000051.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_30.1, whole genome shotgun sequence	141720	140998	transporter
gnl|TC-DB|A0L5S6|1.A.1.14.6	1.A.1.14.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|A0L5S6|1.A.1.14.6	45.798	3.79e-69	229	87	JADHEH010000051.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_30.1, whole genome shotgun sequence	141756	141046	transporter
gnl|TC-DB|F5L478|1.A.1.14.7	1.A.1.14.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|F5L478|1.A.1.14.7	33.840	2.33e-36	135	88	JADHEH010000051.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_30.1, whole genome shotgun sequence	141744	140998	transporter
gnl|TC-DB|J8TM36|1.A.1.14.8	1.A.1.14.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|J8TM36|1.A.1.14.8	35.023	8.30e-36	133	78	JADHEH010000051.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_30.1, whole genome shotgun sequence	141750	141109	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.588	6.38e-30	115	99	JADHEH010000016.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_74, whole genome shotgun sequence	189619	190389	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.780	4.64e-12	63.5	70	JADHEH010000016.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_74, whole genome shotgun sequence	189634	190248	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	27.907	3.82e-05	41.2	74	JADHEH010000102.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_34.1, whole genome shotgun sequence	2811	2317	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	39.720	2.71e-47	163	99	JADHEH010000002.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_64, whole genome shotgun sequence	193171	193809	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	28.788	2.9	22.7	86	JADHEH010000031.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_85, whole genome shotgun sequence	51047	51241	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	28.788	2.9	22.7	86	JADHEH010000031.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_85, whole genome shotgun sequence	51047	51241	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	33.962	1.00e-29	114	79	JADHEH010000002.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_64, whole genome shotgun sequence	112261	111677	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	54.348	4.04e-77	249	99	JADHEH010000002.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_64, whole genome shotgun sequence	112252	111569	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	47.826	6.0	20.0	74	JADHEH010000016.1 MAG: Ectothiorhodospiraceae bacterium AqS1 AqS1_Scaffold_74, whole genome shotgun sequence	267549	267481	transporter
