		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00255210457339451	4	0
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	3.06011478483245	-1	0
rxn00208_c0	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)	1.25715410304039e-14	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.04908166943109	-1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0174461083067096	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0803752062298656	-1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00255210457339451	1	0
rxn05466_c0	TRANS-RXN-173.ce	3.34666819021427	1	-1
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-0.00892304703035381	1	0
rxn14167_c0	2-Aminobut-2-enoate aminohydrolase (spontaneous)	0.116081079689004	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	0.00892304703035381	1	0
EX_cpd00013_e0	Exchange of Ammonium	-3.34666819021427	0	-1
rxn00114_c0	ATP:carbamate phosphotransferase	0.191955497133104	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00255210457340445	-1	0
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.0739844222636392	-1	0
