		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.000262626154280783	-1	0
rxn05466_c0	TRANS-RXN-173.ce	-1.25578881828988	1	-1
EX_cpd00013_e0	Exchange of Ammonium	1.25578881828988	0	-1
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.000262626154243851	4	0
rxn00114_c0	ATP:carbamate phosphotransferase	-0.0802466816902487	-1	0
rxn00278_c0	L-Alanine:NAD+ oxidoreductase (deaminating)	0.349712042813805	1	0
rxn00342_c0	L-Asparagine amidohydrolase	0.0923865798856318	1	0
rxn00347_c0	L-Aspartate ammonia-lyase	0.0379069085386463	1	0
rxn00395_c0	L-Arginine iminohydrolase	0.0906577683312775	1	0
rxn00456_c0	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	0.094752089866024	1	0
rxn00473_c0	L-tryptophan indole-lyase (deaminating; pyruvate-forming)	0.0982046956935551	1	0
rxn00566_c0	L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)	0.0965823129755732	1	0
rxn00867_c0	L-histidine ammonia-lyase (urocanate-forming)	0.0970078261559252	1	0
rxn00949_c0	L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming)	0.000262626154243851	1	0
rxn01654_c0	5-Formiminotetrahydrofolate ammonia-lyase (cyclizing)	0.0970078261559252	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00026262615424385	1	0
rxn02930_c0	D-threo-2,4-diaminopentanoate:NAD+ oxidoreductase (deaminating)	0.0903951421770337	1	0
rxn10484_c0	diaminopimelate dehydrogenase	0.000459116281940181	-1	0
rxn11676_c0	acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase(glycine-forming)	-0.0474286046649116	-1	0
rxn13141_c0	Glucosamine-6-phosphate deaminase	-0.00183646512776072	1	0
rxn15112_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.015517210020157	-1	0
