		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-2.19308365139961	1	0
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	-1000	1	0
rxn00189_c0	L-Glutamine amidohydrolase	999.564674620621	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0525857283902371	-1	0
rxn00456_c0	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	0.0480962230611	1	0
rxn00908_c0	glycine synthase	0.250383704786715	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00273430548462551	1	0
rxn03374_c0	Selenocystathionine Lysteine-lyase (deaminating)	0.076272165352046	1	0
rxn05466_c0	TRANS-RXN-173.ce	2.56388811396154	1	-1
rxn07456_c0	R07641	0.10839396931139	-1	0
EX_cpd00013_e0	Exchange of Ammonium	-2.56388811396154	0	-1
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00273430548462551	4	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00273430548462539	-1	0
rxn00774_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.160188700620143	-1	0
