		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	3.25895257230614e-05	4	0
rxn00347_c0	L-Aspartate ammonia-lyase	999.987579644731	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.000626756577739983	-1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.000222780994695917	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.00102636462401719	-1	0
rxn00926_c0	Adenine aminohydrolase	3.25895257230614e-05	1	0
rxn00950_c0	Cystathionine L-homocysteine-lyase (deaminating)	0.193386684817097	1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	999.99994302783	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	3.25895257230614e-05	1	0
rxn05466_c0	TRANS-RXN-173.ce	-0.569598584509121	1	-1
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-0.00394203154535732	1	0
rxn15274_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	-999.99994302783	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	0.00394203154535732	1	0
EX_cpd00013_e0	Exchange of Ammonium	0.569598584509121	0	-1
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.000944756440469726	-1	0
rxn00395_c0	L-Arginine iminohydrolase	0.00129192150290481	1	0
rxn00774_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.00192554513997949	-1	0
rxn00867_c0	L-histidine ammonia-lyase (urocanate-forming)	0.0996286983421735	1	0
rxn01640_c0	N-Formimino-L-glutamate iminohydrolase	0.0996286983421735	1	0
rxn08291_c0	D-Amino acid dehydrogenase	0.00382808720555426	1	0
rxn10484_c0	diaminopimelate dehydrogenase	999.81119448381	-1	0
