		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.000331489233906602	4	0
rxn00347_c0	L-Aspartate ammonia-lyase	0.392291158143994	1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.00637514824752208	-1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.00226605019932653	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0104398212424286	-1	0
rxn00950_c0	Cystathionine L-homocysteine-lyase (deaminating)	0.0368399152998839	1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	999.999420499055	1	0
rxn01715_c0	Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing)	0.0945027300720041	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.000331489233906608	1	0
rxn03374_c0	Selenocystathionine Lysteine-lyase (deaminating)	8.44105233081138e-27	1	0
rxn05466_c0	TRANS-RXN-173.ce	-0.688715508697414	1	-1
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-0.00115900189006375	1	0
rxn15274_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	-999.999420499055	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	0.00115900189006375	1	0
EX_cpd00013_e0	Exchange of Ammonium	0.688715508697414	0	-1
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.000331489233478978	-1	0
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.00960973140084772	-1	0
rxn00867_c0	L-histidine ammonia-lyase (urocanate-forming)	0.0962232496677891	1	0
rxn01640_c0	N-Formimino-L-glutamate iminohydrolase	0.0962232496677891	1	0
