		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.000206138381831925	-1	0
rxn00456_c0	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)	0.096086991509353	1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	0.145254055129925	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.000206138381605887	1	0
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-999.91423556208	1	0
rxn15274_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	-0.145254055129925	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	999.908259698384	1	0
rxn05466_c0	TRANS-RXN-173.ce	-1.1002015918782	1	-1
EX_cpd00013_e0	Exchange of Ammonium	1.1002015918782	0	-1
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.000206138381605888	4	0
rxn00114_c0	ATP:carbamate phosphotransferase	-0.0844953863051414	-1	0
rxn00395_c0	L-Arginine iminohydrolase	0.092667171621492	1	0
rxn00473_c0	L-tryptophan indole-lyase (deaminating; pyruvate-forming)	0.098590844368543	1	0
rxn00867_c0	L-histidine ammonia-lyase (urocanate-forming)	0.0976514072809049	1	0
rxn01024_c0	R01410	-0.00597586369636415	-1	0
rxn01153_c0	D-Glutamine amidohydrolase	0.14561442094193	1	0
rxn01654_c0	5-Formiminotetrahydrofolate ammonia-lyase (cyclizing)	0.0976514072809049	1	0
rxn02930_c0	D-threo-2,4-diaminopentanoate:NAD+ oxidoreductase (deaminating)	0.0924610332398861	1	0
rxn10484_c0	diaminopimelate dehydrogenase	0.000360365812005859	-1	0
rxn11676_c0	acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase(glycine-forming)	-0.308036777757451	-1	0
rxn13141_c0	Glucosamine-6-phosphate deaminase	-0.00144146324802343	1	0
rxn15112_c0	Ribose-5-phosphate:ammonia ligase (ADP-forming)	0.0120765728935009	-1	0
