		sol$fluxes	cpd00013[c0]	cpd00013[e0]
		met_name	Ammonium[c0]	Ammonium[e0]
rxn00060_c0	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	0.00701781364930038	4	0
rxn00187_c0	L-Glutamate:ammonia ligase (ADP-forming)	8.34074416589446	-1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.134965476436497	-1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0479735580894136	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.221016891402312	-1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	999.987731638841	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00701781364930034	1	0
rxn03374_c0	Selenocystathionine Lysteine-lyase (deaminating)	0.245198185790336	1	0
rxn05466_c0	TRANS-RXN-173.ce	9.20271604455347	1	-1
rxn09519_c0	alpha-Aminopropiononitrile aminohydrolase	-0.0245367223176424	1	0
rxn15274_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	-999.987731638841	1	0
rxn15410_c0	alpha-Aminopropiononitrile aminohydrolase	0.0245367223176424	1	0
EX_cpd00013_e0	Exchange of Ammonium	-9.20271604455347	0	-1
rxn00114_c0	ATP:carbamate phosphotransferase	0.527841970851207	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00701781364838969	-1	0
rxn00339_c0	L-Aspartate:ammonia ligase (ADP-forming)	0.203443422268069	-1	0
